dept_no,emp_no,last_name,first_name,dept_name
d001,10017,Bouloucos,Cristinel,Marketing
d001,10055,Dredge,Georgy,Marketing
d001,10058,McFarlin,Berhard,Marketing
d001,10108,Giveon,Lunjin,Marketing
d001,10140,Auria,Yucel,Marketing
d001,10175,Ananiadou,Aleksandar,Marketing
d001,10208,Klerer,Xiping,Marketing
d001,10228,Cesareni,Karoline,Marketing
d001,10239,Llado,Nikolaos,Marketing
d001,10259,Vesel,Susanna,Marketing
d001,10340,Laventhal,Djelloul,Marketing
d001,10353,Hammerschmidt,Phule,Marketing
d001,10367,Gini,Hyuckchul,Marketing
d001,10384,Luft,Feiyu,Marketing
d001,10418,Porotnikoff,Candida,Marketing
d001,10449,Sudkamp,Aleksandar,Marketing
d001,10491,Narahari,Garnik,Marketing
d001,10499,Luft,Maik,Marketing
d001,10548,Gunderson,Ramalingam,Marketing
d001,10567,Journel,Dietrich,Marketing
d001,10591,Hettesheimer,Hidde,Marketing
d001,10602,Wossner,Douadi,Marketing
d001,10658,Rijckaert,Junsik,Marketing
d001,10661,Giarratana,Ottavia,Marketing
d001,10681,Garnier,Florina,Marketing
d001,10694,Straney,Rildo,Marketing
d001,10722,Gornas,Dung,Marketing
d001,10741,Huttel,Sven,Marketing
d001,10765,Norsworthy,Goetz,Marketing
d001,10778,Merey,Selwyn,Marketing
d001,10787,Neimat,Shiv,Marketing
d001,10820,Pena,Baocai,Marketing
d001,10824,Kalsbeek,Kirk,Marketing
d001,10830,Fiebach,Fen,Marketing
d001,10859,Bernini,King,Marketing
d001,10877,Biron,Subir,Marketing
d001,10885,Cronau,Rayond,Marketing
d001,10893,Kropatsch,Danil,Marketing
d001,10899,Rousseau,Valery,Marketing
d001,10919,Lindenbaum,Reinhard,Marketing
d001,10927,Scallan,Gal,Marketing
d001,10928,Schmezko,Udaiprakash,Marketing
d001,10929,Arlazarov,Sumali,Marketing
d001,10938,Iisaku,Shaowei,Marketing
d001,10941,Norsworthy,Katsuyuki,Marketing
d001,10995,Hertweck,Chenye,Marketing
d001,11012,Speckmann,Taegyun,Marketing
d001,11031,Walstra,Ottavia,Marketing
d001,11035,Atrawala,Bangqing,Marketing
d001,11050,Katiyar,Elvis,Marketing
d001,11092,Stamatiou,Narain,Marketing
d001,11113,Peng,Shahab,Marketing
d001,11123,Cooley,Herb,Marketing
d001,11172,Sudkamp,Kristian,Marketing
d001,11178,Daescu,Kellyn,Marketing
d001,11190,Mellouli,Saeko,Marketing
d001,11191,Crooks,Pradeep,Marketing
d001,11251,Chinal,Bezalel,Marketing
d001,11262,Melski,Bokyung,Marketing
d001,11287,Farrag,Sreenivas,Marketing
d001,11288,Eastman,Domenico,Marketing
d001,11311,Bahk,Hyuckchul,Marketing
d001,11313,Kusalik,Paraskevi,Marketing
d001,11320,McAlpine,Atilio,Marketing
d001,11357,Azevdeo,Radoslaw,Marketing
d001,11375,Noriega,Dmitri,Marketing
d001,11389,Provine,Ronnie,Marketing
d001,11414,Pearson,Eishiro,Marketing
d001,11418,Cooley,Satosi,Marketing
d001,11427,Iisaka,Haldun,Marketing
d001,11435,Lichtman,Utpal,Marketing
d001,11476,Yoshizawa,Manton,Marketing
d001,11483,Mateescu,Zine,Marketing
d001,11489,Yeung,Sandeepan,Marketing
d001,11501,Ranum,Karsten,Marketing
d001,11517,Raczkowsky,Hatem,Marketing
d001,11520,Jervis,Pranas,Marketing
d001,11522,Peris,Yishay,Marketing
d001,11525,Huttel,Tadahiro,Marketing
d001,11527,Boyle,Alagu,Marketing
d001,11539,Zaumen,Yechiam,Marketing
d001,11554,Taubenfeld,Subhash,Marketing
d001,11570,Uchoa,Mayumi,Marketing
d001,11576,Demizu,Lakshmi,Marketing
d001,11595,Kamber,Takanari,Marketing
d001,11602,Malabarba,Somnath,Marketing
d001,11609,Marrakchi,Sigeru,Marketing
d001,11618,Juneja,Gian,Marketing
d001,11643,Redmiles,Gila,Marketing
d001,11656,Muniz,Aimee,Marketing
d001,11667,Marchegay,Kristian,Marketing
d001,11684,Gide,Oksana,Marketing
d001,11726,Reghbati,Eldridge,Marketing
d001,11727,Felcyn,Baziley,Marketing
d001,11740,Pero,Isaac,Marketing
d001,11744,Auria,Felicidad,Marketing
d001,11752,Etalle,Bingning,Marketing
d001,11776,Zaccaria,Giordano,Marketing
d001,11786,Birch,Sarita,Marketing
d001,11797,Thambidurai,Chenxi,Marketing
d001,11833,Levasseur,Yolla,Marketing
d001,11841,Bugrara,Elvia,Marketing
d001,11852,Yurek,Zhongwei,Marketing
d001,11853,Kusakabe,Zeljko,Marketing
d001,11872,Riexinger,Cheong,Marketing
d001,11873,Reeken,Venkatesan,Marketing
d001,11882,Manders,Zhonghua,Marketing
d001,11888,Azulay,Badri,Marketing
d001,11901,Plumb,Baoqiu,Marketing
d001,11904,Flasterstein,DeForest,Marketing
d001,11925,Pashtan,Feiyu,Marketing
d001,11935,Jayawardene,Aamer,Marketing
d001,11953,Baar,Moheb,Marketing
d001,11972,Beausoleil,Sibyl,Marketing
d001,11994,Fiebach,Sigeru,Marketing
d001,12003,McFarlan,Luise,Marketing
d001,12025,Heiserman,Jaewoo,Marketing
d001,12036,Ratzlaff,Mads,Marketing
d001,12040,Kermarrec,Bluma,Marketing
d001,12046,Ranum,Xiong,Marketing
d001,12057,Speckmann,Vishv,Marketing
d001,12061,Mellouli,Anneke,Marketing
d001,12081,Prenel,Wanqing,Marketing
d001,12098,Eugenio,Pranay,Marketing
d001,12118,Hedayat,Arunas,Marketing
d001,12127,Rijckaert,Rosalie,Marketing
d001,12130,Scharstein,Abdelwaheb,Marketing
d001,12133,Sewelson,Waiman,Marketing
d001,12151,Sigstam,Takahiro,Marketing
d001,12152,Nyrup,Amalendu,Marketing
d001,12170,Nannarelli,Moie,Marketing
d001,12171,Papastamatiou,Tremaine,Marketing
d001,12175,Merkl,Make,Marketing
d001,12178,Chinal,Miyeon,Marketing
d001,12181,Kobuchi,Eben,Marketing
d001,12187,Bressoud,Vishv,Marketing
d001,12214,Rahimi,Shih,Marketing
d001,12288,Bodoff,Paddy,Marketing
d001,12331,Setia,Kotesh,Marketing
d001,12347,Ranze,Remko,Marketing
d001,12368,Dechter,Gor,Marketing
d001,12374,Berstel,Ult,Marketing
d001,12380,Farrow,Menkae,Marketing
d001,12382,Zschoche,Charlene,Marketing
d001,12418,Lorin,Jongsuk,Marketing
d001,12430,Feldmann,Kristine,Marketing
d001,12462,Schmittgen,Zhenhua,Marketing
d001,12471,Nivat,Aksel,Marketing
d001,12473,Granlund,Charlene,Marketing
d001,12478,Hopewell,Yahiko,Marketing
d001,12494,Conte,JoAnna,Marketing
d001,12495,Erni,Mooi,Marketing
d001,12505,Goldhammer,Barton,Marketing
d001,12536,Baez,Radhakrishnan,Marketing
d001,12537,Gonthier,Avishai,Marketing
d001,12546,Shobatake,Luisa,Marketing
d001,12562,Luby,Sven,Marketing
d001,12606,Kinley,Richara,Marketing
d001,12614,Senzako,Sastry,Marketing
d001,12618,Bridgland,Honglan,Marketing
d001,12623,Scharstein,Raimond,Marketing
d001,12642,Gips,Suebskul,Marketing
d001,12673,Rajala,Jouni,Marketing
d001,12677,Yavatkar,Christoper,Marketing
d001,12680,Staudhammer,Bader,Marketing
d001,12741,Capobianchi,Goh,Marketing
d001,12803,Boissier,Gad,Marketing
d001,12809,Gargeya,Huei,Marketing
d001,12822,Marrakchi,Guther,Marketing
